"article_ID","cited_by_id"
"997","3557605"
"997","1970502"
"997","3491019"
"997","1263123"
"997","3586386"
"997","3484394"
"997","4867899"
"997","3684806"
"997","4867892"
"997","4867894"
"997","1125208"
"997","1263691"
"997","4867871"
"997","2376388"
"997","1387602"
"997","2700508"
"997","3684772"
"997","2323110"
"997","4867875"
"997","4867874"
"997","3604457"
"997","1261323"
"997","176723"
"997","2525495"
"997","1261714"
"997","3721987"
"997","3484339"
"997","2597711"
"997","1500301"
"997","1398209"
"997","2324281"
"997","3684926"
"997","4867872"
"997","1948681"
"997","1844983"
"997","3684923"
"997","3484191"
"997","2015097"
"997","4867881"
"997","1296579"
"997","672159"
"997","3684917"
"997","2700496"
"997","3484143"
"997","4867927"
"997","942"
"997","4867883"
"997","1523103"
"997","1263208"
"997","4867926"
"997","3903184"
"997","2324216"
"997","1263210"
"997","4867920"
"997","3684766"
"997","3684838"
"997","2277439"
"997","2388647"
"997","4867878"
"997","3608308"
"997","150812"
"997","3590564"
"997","4867876"
"997","4867911"
"997","3484153"
"997","4867913"
"997","1368756"
"997","4867912"
"997","3483991"
"997","3715538"
"997","1125196"
"997","4867909"
"997","4867908"
"997","3684774"
"997","3563074"
"997","4867906"
"997","4867905"
"997","4867880"
"997","3684803"
"997","4867898"
"997","2551812"
"997","3289080"
"997","681325"
"997","4867893"
"997","3457517"
"997","1186641"
"997","4867897"
"1020","19489"
"1020","332172"
"1020","373182"
"1020","373198"
"1020","373181"
"1020","19298"
"1020","373199"
"1020","279875"
"1020","19907"
"1020","373202"
"1020","373213"
"1020","19324"
"1020","19915"
"1020","332210"
"1020","373193"
"1020","373252"
"1020","267569"
"1020","373262"
"1020","373172"
"1020","373158"
"1020","273630"
"1020","373124"
"1020","373254"
"1020","373162"
"1020","25606"
"1020","166427"
"1020","373203"
"1020","373176"
"1020","373201"
"1020","279983"
"1020","373180"
"1020","166336"
"1020","373197"
"1020","373196"
"1020","373214"
"1020","373200"
"1020","258190"
"1020","25619"
"1020","62201"
"1020","373175"
"1020","245045"
"1020","373251"
"1020","373148"
"1020","373169"
"1020","373146"
"1020","373134"
"1020","373191"
"1020","50334"
"1020","373168"
"1020","50337"
"1020","373266"
"1020","250355"
"1020","373186"
"1020","113393"
"1020","373152"
"1020","373223"
"1020","373227"
"1020","166395"
"1020","279906"
"1020","267595"
"1020","373232"
"1020","373231"
"1020","373250"
"1020","373236"
"1020","75217"
"1020","912"
"1020","361665"
"1020","373271"
"1020","373190"
"1020","373149"
"1020","373234"
"1020","50331"
"1020","373229"
"1020","187994"
"1020","19980"
"1020","336144"
"1020","373145"
"1020","373277"
"1020","373238"
"1020","373241"
"1020","373255"
"1020","356494"
"1020","373233"
"1020","373150"
"1020","373154"
"1020","373138"
"1020","373139"
"1020","373136"
"1020","19246"
"1020","373133"
"1020","373130"
"1020","373140"
"1020","250441"
"1020","373128"
"1020","373126"
"1020","133239"
"1020","373141"
"1020","373123"
"1020","166286"
"1020","113303"
"1020","373120"
"1020","19621"
"1020","373112"
"1020","873"
"1020","373111"
"1020","25618"
"1020","373105"
"1020","19598"
"1020","166253"
"1020","227628"
"1020","373222"
"1020","373142"
"1020","373109"
"1020","113314"
"1020","19496"
"1020","373216"
"1020","373215"
"1020","280095"
"1020","373097"
"1020","373274"
"1020","280337"
"1020","373167"
"1020","44858"
"1020","373253"
"1020","373276"
"1020","373244"
"1020","19836"
"1020","373275"
"1020","373272"
"1020","373246"
"1020","373243"
"1020","373219"
"1020","373218"
"1020","166249"
"1020","25611"
"1020","373102"
"1020","315868"
"1020","250297"
"1020","373104"
"1020","373108"
"1020","373107"
"1020","373163"
"1020","373110"
"1020","373115"
"1020","373114"
"1020","196243"
"1020","373117"
"1020","373119"
"1020","25612"
"1020","373116"
"1020","373221"
"1020","373122"
"1020","373121"
"1020","373270"
"1020","373125"
"1020","166283"
"1020","373127"
"1020","373143"
"1020","373129"
"1020","373132"
"1020","373131"
"1020","373166"
"1020","373135"
"1020","275810"
"1020","373137"
"1020","373247"
"1020","358454"
"1020","280012"
"1020","280005"
"1020","373237"
"1020","373240"
"1020","373144"
"1020","373220"
"1020","373248"
"1020","25615"
"1020","373245"
"1020","19482"
"1020","373249"
"1020","373095"
"1020","373164"
"1020","373096"
"1020","373099"
"1020","373100"
"1020","140072"
"1020","373098"
"1020","255608"
"1020","50299"
"1020","373273"
"1020","225255"
"1020","113248"
"1020","373187"
"1020","373217"
"1020","373103"
"1020","373101"
"1020","373106"
"1020","166327"
"1020","373165"
"1020","373113"
"1020","221577"
"1020","373230"
"1020","373239"
"1020","261527"
"1020","373235"
"1020","224165"
"1020","316153"
"1020","176795"
"1020","373147"
"1020","373267"
"1020","166400"
"1020","373177"
"1020","373228"
"1020","373225"
"1020","373224"
"1020","373159"
"1020","373226"
"1020","113432"
"1020","87801"
"1020","373265"
"1020","373269"
"1020","841"
"1020","19967"
"1020","373183"
"1020","166324"
"1020","373264"
"1020","64103"
"1020","19937"
"1020","373263"
"1020","198084"
"1020","163091"
"1020","373210"
"1020","19181"
"1020","373268"
"1020","373209"
"1020","373211"
"1020","978"
"1020","373212"
"1020","373204"
"1020","19402"
"1020","373259"
"1020","19922"
"1020","373206"
"1020","19923"
"1020","373260"
"1020","373256"
"1020","113324"
"1020","373257"
"1020","166378"
"1020","373195"
"1020","373207"
"1020","373258"
"1020","373261"
"1020","373242"
"1020","166436"
"1020","113382"
"1020","373194"
"1020","373192"
"1020","373170"
"1020","373171"
"1020","113414"
"1020","373208"
"1020","373118"
"1020","373188"
"1020","373189"
"1020","161853"
"1020","373157"
"1020","373173"
"1020","50406"
"1020","332247"
"1020","373179"
"1020","161875"
"1020","275535"
"1020","19914"
"1020","373178"
"1020","373184"
"1020","373205"
"1020","19293"
"1020","373156"
